"TrajectID";"Variabele";"Min";"Max"
"1-1";"Toetspeil";3.83;5.83
"1-1";"Hs";1.09;3.09
"1-1";"HBN";6.22;9.82
"1-1";"Q";5.00;50.00
"1-2";"Toetspeil";3.83;5.83
"1-2";"Hs";1.09;3.09
"1-2";"HBN";6.22;9.82
"1-2";"Q";5.00;20.00
"2-1";"Toetspeil";3.51;5.51
"2-1";"Hs";1.02;3.02
"2-1";"HBN";6.09;9.77
"2-1";"Q";5.00;50.00
"2-2";"Toetspeil";3.51;5.51
"2-2";"Hs";1.02;3.02
"2-2";"HBN";6.09;9.77
"2-2";"Q";5.00;20.00
"3-1";"Toetspeil";3.34;5.34
"3-1";"Hs";0.86;2.86
"3-1";"HBN";5.31;7.98
"3-1";"Q";5.00;50.00
"3-2";"Toetspeil";3.34;5.34
"3-2";"Hs";0.86;2.86
"3-2";"HBN";5.31;7.98
"3-2";"Q";5.00;20.00
"4-1";"Toetspeil";3.20;5.20
"4-1";"Hs";0.56;2.56
"4-1";"HBN";4.75;7.10
"4-1";"Q";5.00;50.00
"4-2";"Toetspeil";3.20;5.20
"4-2";"Hs";0.56;2.56
"4-2";"HBN";4.75;7.10
"4-2";"Q";5.00;20.00
"5-1";"Toetspeil";3.29;5.29
"5-1";"Hs";0.42;2.42
"5-1";"HBN";5.01;8.07
"5-1";"Q";5.00;50.00
"5-2";"Toetspeil";3.29;5.29
"5-2";"Hs";0.42;2.42
"5-2";"HBN";5.01;8.07
"5-2";"Q";5.00;20.00
"6-1";"Toetspeil";0.63;2.63
"6-1";"Hs";0.61;2.61
"6-1";"HBN";1.63;3.63
"6-1";"Q";1.00;5.00
"6-2";"Toetspeil";0.73;2.73
"6-2";"Hs";0.64;2.64
"6-2";"HBN";1.27;3.27
"6-2";"Q";1.00;5.00
"6-3";"Toetspeil";3.94;5.94
"6-3";"Hs";1.62;3.62
"6-3";"HBN";8.10;13.03
"6-3";"Q";5.00;20.00
"6-4";"Toetspeil";3.93;5.93
"6-4";"Hs";1.05;3.05
"6-4";"HBN";6.86;11.43
"6-4";"Q";5.00;20.00
"6-5";"Toetspeil";4.12;6.12
"6-5";"Hs";1.46;3.46
"6-5";"HBN";7.26;11.97
"6-5";"Q";5.00;20.00
"6-6";"Toetspeil";4.40;6.40
"6-6";"Hs";1.23;3.23
"6-6";"HBN";7.46;11.32
"6-6";"Q";5.00;20.00
"6-7";"Toetspeil";5.32;7.47
"6-7";"Hs";1.47;3.47
"6-7";"HBN";6.45;12.34
"6-7";"Q";5.00;20.00
"7-1";"Toetspeil";0.81;2.81
"7-1";"Hs";0.74;2.74
"7-1";"HBN";2.72;4.85
"7-1";"Q";1.00;5.00
"7-2";"Toetspeil";0.81;2.81
"7-2";"Hs";0.74;2.74
"7-2";"HBN";2.72;4.85
"7-2";"Q";1.00;5.00
"8-1";"Toetspeil";0.78;2.78
"8-1";"Hs";-0.05;1.95
"8-1";"HBN";1.70;4.12
"8-1";"Q";1.00;5.00
"8-2";"Toetspeil";0.11;2.11
"8-2";"Hs";1.16;3.16
"8-2";"HBN";5.08;8.65
"8-2";"Q";1.00;5.00
"8-3a";"Toetspeil";1.07;3.07
"8-3a";"Hs";1.93;3.93
"8-3a";"HBN";5.57;11.57
"8-3a";"Q";1.00;5.00
"8-3b";"Toetspeil";0.11;2.11
"8-3b";"Hs";1.16;3.16
"8-3b";"HBN";5.08;8.65
"8-3b";"Q";1.00;5.00
"8-4";"Toetspeil";1.18;3.18
"8-4";"Hs";0.30;2.30
"8-4";"HBN";3.09;6.13
"8-4";"Q";1.00;5.00
"9-1";"Toetspeil";2.86;4.86
"9-1";"Hs";-0.16;1.84
"9-1";"HBN";3.52;5.52
"9-1";"Q";1.00;5.00
"9-2";"Toetspeil";1.28;3.28
"9-2";"Hs";-0.01;1.99
"9-2";"HBN";1.95;3.95
"9-2";"Q";1.00;5.00
"10-1";"Toetspeil";2.65;4.65
"10-1";"Hs";-0.21;1.79
"10-1";"HBN";2.93;4.93
"10-1";"Q";1.00;5.00
"10-2";"Toetspeil";1.09;3.09
"10-2";"Hs";0.54;1.14
"10-2";"HBN";1.81;3.87
"10-2";"Q";1.00;5.00
"10-3";"Toetspeil";2.69;4.69
"10-3";"Hs";-0.05;1.95
"10-3";"HBN";3.15;5.15
"10-3";"Q";1.00;5.00
"11-1";"Toetspeil";3.28;5.28
"11-1";"Hs";-0.15;1.85
"11-1";"HBN";3.67;5.67
"11-1";"Q";1.00;5.00
"11-2";"Toetspeil";1.66;3.66
"11-2";"Hs";-0.06;1.94
"11-2";"HBN";2.34;4.34
"11-2";"Q";1.00;5.00
"12-1";"Toetspeil";3.78;5.78
"12-1";"Hs";1.37;3.37
"12-1";"HBN";3.12;12.71
"12-1";"Q";5.00;20.00
"12-2";"Toetspeil";0.29;2.29
"12-2";"Hs";0.98;2.98
"12-2";"HBN";-2.00;0.00
"12-2";"Q";1.00;5.00
"13-1";"Toetspeil";3.68;6.17
"13-1";"Hs";-99.00;9.20
"13-1";"HBN";23.98;38.68
"13-1";"Q";5.00;50.00
"13-2";"Toetspeil";3.57;5.65
"13-2";"Hs";4.24;6.33
"13-2";"HBN";18.70;29.10
"13-2";"Q";5.00;50.00
"13-3";"Toetspeil";3.56;5.59
"13-3";"Hs";2.97;4.97
"13-3";"HBN";13.04;22.28
"13-3";"Q";5.00;50.00
"13-4";"Toetspeil";3.35;5.35
"13-4";"Hs";2.08;4.08
"13-4";"HBN";8.25;12.05
"13-4";"Q";5.00;20.00
"13-5";"Toetspeil";3.60;5.60
"13-5";"Hs";0.97;2.97
"13-5";"HBN";3.42;10.35
"13-5";"Q";5.00;20.00
"13-6";"Toetspeil";0.27;2.27
"13-6";"Hs";0.83;2.83
"13-6";"HBN";3.15;5.91
"13-6";"Q";1.00;5.00
"13-7";"Toetspeil";0.06;2.06
"13-7";"Hs";0.84;2.84
"13-7";"HBN";4.12;6.92
"13-7";"Q";1.00;5.00
"13-8";"Toetspeil";-0.18;1.82
"13-8";"Hs";0.48;2.48
"13-8";"HBN";3.34;5.53
"13-8";"Q";1.00;5.00
"13-9";"Toetspeil";0.13;2.13
"13-9";"Hs";-0.06;1.94
"13-9";"HBN";1.67;3.67
"13-9";"Q";1.00;5.00
"13a-1a";"Toetspeil";0.13;2.13
"13a-1a";"Hs";-0.06;1.94
"13a-1a";"HBN";1.67;3.67
"13a-1a";"Q";1.00;5.00
"13a-1b";"Toetspeil";0.13;2.13
"13a-1b";"Hs";-0.06;1.94
"13a-1b";"HBN";1.67;3.67
"13a-1b";"Q";1.00;5.00
"13a-1c";"Toetspeil";0.13;2.13
"13a-1c";"Hs";-0.06;1.94
"13a-1c";"HBN";1.67;3.67
"13a-1c";"Q";1.00;5.00
"13a-1d";"Toetspeil";0.13;2.13
"13a-1d";"Hs";-0.06;1.94
"13a-1d";"HBN";1.67;3.67
"13a-1d";"Q";1.00;5.00
"13b-1";"Toetspeil";-0.19;1.81
"13b-1";"Hs";0.28;2.28
"13b-1";"HBN";2.13;4.13
"13b-1";"Q";1.00;5.00
"14-2";"Toetspeil";2.61;4.61
"14-2";"Hs";-0.09;1.91
"14-2";"HBN";3.77;5.77
"14-2";"Q";1.00;5.00
"14-3";"Toetspeil";2.32;4.32
"14-3";"Hs";0.31;2.31
"14-3";"HBN";3.52;5.52
"14-3";"Q";1.00;5.00
"14-6";"Toetspeil";3.77;6.38
"14-6";"Hs";5.80;8.41
"14-6";"HBN";24.76;38.79
"14-6";"Q";5.00;50.00
"14-8";"Toetspeil";3.78;6.56
"14-8";"Hs";2.50;4.50
"14-8";"HBN";12.01;22.53
"14-8";"Q";5.00;50.00
"15-1";"Toetspeil";4.45;6.45
"15-1";"Hs";-0.08;1.92
"15-1";"HBN";4.82;6.82
"15-1";"Q";1.00;5.00
"15-2";"Toetspeil";2.56;4.56
"15-2";"Hs";-0.01;1.99
"15-2";"HBN";3.16;5.16
"15-2";"Q";1.00;5.00
"16-1";"Toetspeil";3.25;5.25
"16-1";"Hs";0.05;2.05
"16-1";"HBN";3.92;5.92
"16-1";"Q";1.00;5.00
"16-2";"Toetspeil";2.13;4.13
"16-2";"Hs";0.06;2.06
"16-2";"HBN";2.96;4.96
"16-2";"Q";1.00;5.00
"16-3";"Toetspeil";3.35;5.35
"16-3";"Hs";0.01;2.01
"16-3";"HBN";3.86;5.86
"16-3";"Q";1.00;5.00
"16-4";"Toetspeil";5.03;7.03
"16-4";"Hs";-0.11;1.89
"16-4";"HBN";5.47;7.47
"16-4";"Q";1.00;5.00
"17-1";"Toetspeil";2.27;4.27
"17-1";"Hs";0.13;2.13
"17-1";"HBN";3.18;5.18
"17-1";"Q";1.00;5.00
"17-2";"Toetspeil";2.33;4.33
"17-2";"Hs";0.14;2.14
"17-2";"HBN";3.61;5.61
"17-2";"Q";1.00;5.00
"17-3";"Toetspeil";2.29;4.29
"17-3";"Hs";-0.01;1.99
"17-3";"HBN";3.15;5.15
"17-3";"Q";1.00;5.00
"18-1";"Toetspeil";2.68;4.68
"18-1";"Hs";0.42;2.42
"18-1";"HBN";4.31;6.31
"18-1";"Q";1.00;5.00
"19-1a";"Toetspeil";2.66;4.66
"19-1a";"Hs";0.19;2.19
"19-1a";"HBN";4.16;6.16
"19-1a";"Q";1.00;5.00
"19-1b";"Toetspeil";2.66;4.66
"19-1b";"Hs";0.19;2.19
"19-1b";"HBN";4.16;6.16
"19-1b";"Q";1.00;5.00
"20-1";"Toetspeil";3.75;5.97
"20-1";"Hs";6.61;10.09
"20-1";"HBN";23.77;42.78
"20-1";"Q";5.00;50.00
"20-3";"Toetspeil";2.36;4.36
"20-3";"Hs";-0.13;1.87
"20-3";"HBN";3.21;5.21
"20-3";"Q";1.00;5.00
"20-4";"Toetspeil";1.70;3.70
"20-4";"Hs";0.06;2.06
"20-4";"HBN";2.90;4.90
"20-4";"Q";1.00;5.00
"21-1";"Toetspeil";2.10;4.10
"21-1";"Hs";-0.08;1.92
"21-1";"HBN";3.08;5.08
"21-1";"Q";1.00;5.00
"21-2";"Toetspeil";1.83;3.83
"21-2";"Hs";0.13;2.13
"21-2";"HBN";3.01;5.01
"21-2";"Q";1.00;5.00
"22-1";"Toetspeil";2.05;4.05
"22-1";"Hs";0.00;2.00
"22-1";"HBN";2.81;4.81
"22-1";"Q";1.00;5.00
"22-2";"Toetspeil";2.08;4.08
"22-2";"Hs";0.47;2.47
"22-2";"HBN";2.91;4.91
"22-2";"Q";1.00;5.00
"23-1";"Toetspeil";2.33;4.33
"23-1";"Hs";-0.03;1.97
"23-1";"HBN";3.27;5.27
"23-1";"Q";1.00;5.00
"24-1";"Toetspeil";3.68;5.68
"24-1";"Hs";0.05;2.05
"24-1";"HBN";4.02;6.02
"24-1";"Q";1.00;5.00
"24-2";"Toetspeil";2.46;4.46
"24-2";"HBN";3.48;5.48
"24-2";"Q";1.00;5.00
"24-3";"Toetspeil";4.07;6.07
